"customername","customerkey","gender","yearlyincome","city","country","state"
"Alyssa Cox",11083,"F","130000.00","Lincoln Acres","United States","California"
"Lucas Phillips",11084,"M","80000.00","Lebanon","United States","Oregon"
"Emily Johnson",11085,"F","60000.00","Newport Beach","United States","California"
"Ryan Brown",11086,"M","70000.00","Santa Monica","United States","California"
"Tamara Liang",11087,"F","70000.00","Chula Vista","United States","California"
"Hunter Davis",11088,"M","80000.00","San Diego","United States","California"
"Abigail Price",11089,"F","80000.00","Long Beach","United States","California"
"Trevor Bryant",11090,"M","90000.00","Los Angeles","United States","California"
"Dalton Perez",11091,"M","90000.00","Haney","Canada","British Columbia"
"Cheryl Diaz",11092,"F","90000.00","East Brisbane","Australia","Queensland"
"Aimee He",11093,"F","100000.00","Wollongong","Australia","New South Wales"
"Cedric Ma",11094,"M","70000.00","Cranbourne","Australia","Victoria"
"Chad Kumar",11095,"M","70000.00","Port Macquarie","Australia","New South Wales"
"Andrés Anand",11096,"M","60000.00","North Sydney","Australia","New South Wales"
"Edwin Nara",11097,"M","60000.00","Warrnambool","Australia","Victoria"
"Mallory Rubio",11098,"F","60000.00","Rhodes","Australia","New South Wales"
"Adam Ross",11099,"M","60000.00","Port Macquarie","Australia","New South Wales"
"Latasha Navarro",11100,"F","60000.00","Cloverdale","Australia","South Australia"
"Abby Sai",11101,"F","70000.00","Cranbourne","Australia","Victoria"
"Julia Nelson",11102,"F","80000.00","Sydney","Australia","New South Wales"
"Cassie Chande",11103,"F","70000.00","Darlinghurst","Australia","New South Wales"
"Edgar Sara",11104,"M","70000.00","Gold Coast","Australia","Queensland"
"Candace Fernandez",11105,"F","70000.00","Matraville","Australia","New South Wales"
"Jessie Liu",11106,"M","70000.00","Warrnambool","Australia","Victoria"
"Bianca Lin",11107,"F","90000.00","St. Leonards","Australia","New South Wales"
"John White",12064,"M","70000.00","Corvallis","United States","Oregon"
"Kari Alvarez",11108,"F","70000.00","Port Macquarie","Australia","New South Wales"
"Ruben Kapoor",11109,"M","70000.00","South Melbourne","Australia","Victoria"
"Curtis Yang",11110,"M","60000.00","Darlinghurst","Australia","New South Wales"
"Meredith Gutierrez",11111,"F","60000.00","Geelong","Australia","Victoria"
"Crystal Wang",11112,"F","60000.00","Hervey Bay","Australia","Queensland"
"Micheal Blanco",11113,"M","70000.00","Perth","Australia","South Australia"
"Leslie Moreno",11114,"F","70000.00","Rhodes","Australia","New South Wales"
"Alvin Cai",11115,"M","70000.00","St. Leonards","Australia","New South Wales"
"Clinton Carlson",11116,"M","70000.00","Sydney","Australia","New South Wales"
"April Deng",11117,"F","70000.00","Matraville","Australia","New South Wales"
"Alvin Zeng",11118,"M","80000.00","Lavender Bay","Australia","New South Wales"
"Evan James",11119,"M","30000.00","Port Macquarie","Australia","New South Wales"
"Beth Jiménez",11120,"F","40000.00","Sydney","Australia","New South Wales"
"Orlando Suarez",11121,"M","70000.00","Newcastle","Australia","New South Wales"
"Byron Vazquez",11122,"M","70000.00","North Sydney","Australia","New South Wales"
"Philip Alvarez",11123,"M","70000.00","Sunbury","Australia","Victoria"
"Ross Jordan",11124,"M","80000.00","Warrnambool","Australia","Victoria"
"Dana Navarro",11125,"F","70000.00","Seaford","Australia","Victoria"
"Shaun Carson",11126,"M","10000.00","North Ryde","Australia","New South Wales"
"Jan Edwards",11127,"F","40000.00","San Gabriel","United States","California"
"Samantha Long",11128,"F","40000.00","Renton","United States","Washington"
"Julia Wright",11129,"F","40000.00","Sedro Woolley","United States","Washington"
"Caroline Russell",11130,"F","30000.00","Lebanon","United States","Oregon"
"Amanda Rivera",11131,"F","30000.00","Haney","Canada","British Columbia"
"Melissa Richardson",11132,"F","30000.00","Langford","Canada","British Columbia"
"Angela Griffin",11133,"F","30000.00","Lake Oswego","United States","Oregon"
"Larry Townsend",11134,"M","10000.00","Perth","Australia","South Australia"
"Marcus Harris",11135,"M","30000.00","Burlingame","United States","California"
"Brianna Morgan",11136,"F","40000.00","Metchosin","Canada","British Columbia"
"Jasmine Taylor",11137,"F","40000.00","Spokane","United States","Washington"
"Lauren Davis",11138,"F","40000.00","Glendale","United States","California"
"Tanya Moreno",11139,"F","30000.00","Cloverdale","Australia","South Australia"
"Javier Alvarez",11140,"M","30000.00","Burbank","United States","California"
"Nicole Ramirez",11141,"F","40000.00","Daly City","United States","California"
"Eduardo Patterson",11142,"M","40000.00","Langford","Canada","British Columbia"
"Jonathan Henderson",11143,"M","40000.00","Lakewood","United States","California"
"Edward Hernandez",11144,"M","40000.00","Ballard","United States","Washington"
"Jasmine Coleman",11145,"F","40000.00","Beaverton","United States","Oregon"
"Karla Goel",11146,"F","40000.00","Matraville","Australia","New South Wales"
"Ernest Wu",11147,"M","60000.00","Warrnambool","Australia","Victoria"
"Ross Vazquez",11148,"M","40000.00","East Brisbane","Australia","Queensland"
"Theodore Gill",11149,"M","40000.00","Hervey Bay","Australia","Queensland"
"Russell Shen",11150,"M","40000.00","Sunbury","Australia","Victoria"
"Melinda Gill",11151,"F","60000.00","Sydney","Australia","New South Wales"
"James Williams",11152,"M","40000.00","Puyallup","United States","Washington"
"Jodi Rai",27994,"F","40000.00","Beaverton","United States","Oregon"
"Ian Gray",11193,"M","60000.00","Woodburn","United States","Oregon"
"Angela James",11153,"F","40000.00","Renton","United States","Washington"
"Megan Walker",11154,"F","40000.00","Woodburn","United States","Oregon"
"Hunter Robinson",11155,"M","40000.00","Burbank","United States","California"
"Maria Roberts",11156,"F","40000.00","Lakewood","United States","California"
"Hannah Long",11157,"F","40000.00","Tacoma","United States","Washington"
"Jason Wright",11158,"M","40000.00","San Gabriel","United States","California"
"Brianna Hughes",11159,"F","40000.00","Woodland Hills","United States","California"
"Maurice Tang",11160,"M","40000.00","Concord","United States","California"
"Emily Wood",11161,"F","40000.00","Concord","United States","California"
"Chase Cox",11162,"M","40000.00","La Jolla","United States","California"
"Gabriel Wang",11163,"M","40000.00","Spring Valley","United States","California"
"Devin Brooks",11164,"M","40000.00","Torrance","United States","California"
"Jocelyn Alexander",11165,"F","60000.00","Oakland","United States","California"
"Ashley Martinez",11166,"F","70000.00","Olympia","United States","Washington"
"Jasmine Barnes",11167,"F","80000.00","Issaquah","United States","Washington"
"David Rodriguez",11168,"M","80000.00","Oakland","United States","California"
"Bryce Richardson",11169,"M","90000.00","Coronado","United States","California"
"Carol Howard",11170,"F","90000.00","Burien","United States","Washington"
"Jonathan Hill",11171,"M","100000.00","Woodland Hills","United States","California"
"Gabrielle Adams",11172,"F","100000.00","Lynnwood","United States","Washington"
"Sarah Thomas",11173,"F","110000.00","W. Linn","United States","Oregon"
"Nicholas Robinson",11174,"M","110000.00","Los Angeles","United States","California"
"Luis Wang",11175,"M","70000.00","Beverly Hills","United States","California"
"Mason Roberts",11176,"M","90000.00","Haney","Canada","British Columbia"
"Jose Flores",11177,"M","110000.00","San Diego","United States","California"
"Nathan Johnson",11178,"M","100000.00","Lakewood","United States","California"
"Molly Rodriguez",11179,"F","120000.00","Beverly Hills","United States","California"
"April Anand",11180,"F","160000.00","Chula Vista","United States","California"
"Devin Martin",11181,"M","170000.00","Los Angeles","United States","California"
"Stephanie Torres",11182,"F","70000.00","Sedro Woolley","United States","Washington"
"Jasmine Lee",11183,"F","70000.00","Santa Cruz","United States","California"
"Meghan Hernandez",11184,"F","70000.00","Concord","United States","California"
"Ashley Henderson",11185,"F","70000.00","Metchosin","Canada","British Columbia"
"Sarah Price",11186,"F","70000.00","Palo Alto","United States","California"
"Jennifer Cooper",11187,"F","60000.00","Burien","United States","Washington"
"Alfredo Moreno",11437,"M","90000.00","Villeneuve-d'Ascq","France","Nord"
"Catherine Morris",11188,"F","60000.00","San Gabriel","United States","California"
"Lawrence Blanco",11189,"M","60000.00","Bellingham","United States","Washington"
"Carson Bryant",11190,"M","70000.00","Beverly Hills","United States","California"
"Kristi Perez",11191,"F","70000.00","Colma","United States","California"
"James Brown",11192,"M","60000.00","Seattle","United States","Washington"
"Jacqueline Price",11194,"F","60000.00","Palo Alto","United States","California"
"Megan Henderson",11195,"F","60000.00","Renton","United States","Washington"
"Alfredo Romero",11196,"M","60000.00","Beaverton","United States","Oregon"
"Andrea Morris",11197,"F","70000.00","Seattle","United States","Washington"
"Brooke Sanders",11198,"F","70000.00","Santa Cruz","United States","California"
"Jacqueline Bennett",11199,"F","70000.00","Burlingame","United States","California"
"Jason Griffin",11200,"M","70000.00","Victoria","Canada","British Columbia"
"Amanda Foster",11201,"F","70000.00","Santa Monica","United States","California"
"Alexia Price",11202,"F","80000.00","Lakewood","United States","California"
"Luis Diaz",11203,"M","40000.00","Port Hammond","Canada","British Columbia"
"Destiny Rivera",11204,"F","40000.00","Beaverton","United States","Oregon"
"Abby Fernandez",11205,"F","40000.00","Burien","United States","Washington"
"Blake Flores",11206,"M","60000.00","Lynnwood","United States","Washington"
"Danielle Cox",11207,"F","60000.00","Renton","United States","Washington"
"Maria Reed",11208,"F","60000.00","Glendale","United States","California"
"Allison Evans",11209,"F","60000.00","Lincoln Acres","United States","California"
"Edward Wood",11210,"M","70000.00","West Covina","United States","California"
"Samantha Russell",11211,"F","40000.00","Haney","Canada","British Columbia"
"Chloe Campbell",11212,"F","40000.00","Metchosin","Canada","British Columbia"
"Stephanie Murphy",11213,"F","60000.00","Edmonds","United States","Washington"
"Charles Miller",11214,"M","60000.00","Milwaukie","United States","Oregon"
"Ana Perry",11215,"F","40000.00","Royal Oak","Canada","British Columbia"
"Jasmine Torres",11216,"F","60000.00","Portland","United States","Oregon"
"Natalie Adams",11217,"F","60000.00","Portland","United States","Oregon"
"Olivia Brown",11218,"F","60000.00","Tacoma","United States","Washington"
"Charles Cook",11219,"M","60000.00","Woodburn","United States","Oregon"
"Erica Huang",11220,"F","60000.00","Colma","United States","California"
"Nathan Perry",11221,"M","70000.00","Lakewood","United States","California"
"Alexandra Rivera",11222,"F","80000.00","Santa Monica","United States","California"
"Hailey Patterson",11223,"F","70000.00","Langley","Canada","British Columbia"
"Tiffany Li",11224,"F","70000.00","Burien","United States","Washington"
"Madison Lee",11225,"F","60000.00","Renton","United States","Washington"
"Sydney Ross",11226,"F","60000.00","W. Linn","United States","Oregon"
"Marshall Chavez",11227,"M","60000.00","Colma","United States","California"
"Ashley Jones",11228,"F","60000.00","El Cajon","United States","California"
"Adrian Stewart",11229,"M","70000.00","Redwood City","United States","California"
"Amber Turner",11230,"F","70000.00","Santa Monica","United States","California"
"Dennis Zhang",11231,"M","60000.00","Bremerton","United States","Washington"
"Hailey Bryant",11232,"F","60000.00","Everett","United States","Washington"
"Todd Li",11233,"M","70000.00","Berkeley","United States","California"
"Anna Griffin",11234,"F","70000.00","Long Beach","United States","California"
"Angel Stewart",11235,"M","70000.00","Ballard","United States","Washington"
"Jeremy Butler",11236,"M","70000.00","Bellingham","United States","Washington"
"Clarence Anand",11237,"M","130000.00","Solingen","Germany","Nordrhein-Westfalen"
"Mayra Prasad",11238,"F","130000.00","Birmingham","United Kingdom","England"
"Latoya Goel",11239,"F","130000.00","London","United Kingdom","England"
"Anne Hernandez",11240,"F","160000.00","Watford","United Kingdom","England"
"Lisa Cai",11241,"F","100000.00","Les Ulis","France","Essonne"
"Larry Munoz",11242,"M","110000.00","Versailles","France","Yveline"
"Robin Alvarez",11243,"F","150000.00","Esher-Molesey","United Kingdom","England"
"Alexis Coleman",11244,"F","170000.00","Runcorn","United Kingdom","England"
"Ricky Vazquez",11245,"M","120000.00","Hamburg","Germany","Hessen"
"Latasha Rubio",11246,"F","120000.00","Hamburg","Germany","Hamburg"
"Claudia Zhou",11247,"F","130000.00","Lancaster","United Kingdom","England"
"Tristan Alexander",11248,"M","110000.00","Saint-Denis","France","Seine Saint Denis"
"Cindy Patel",11249,"F","130000.00","Sulzbach Taunus","Germany","Saarland"
"Shannon Liu",11250,"F","170000.00","Woolston","United Kingdom","England"
"Xavier Long",11251,"M","30000.00","Haney","Canada","British Columbia"
"Nicholas Thompson",11252,"M","90000.00","Lemon Grove","United States","California"
"José Hernandez",11253,"M","60000.00","Victoria","Canada","British Columbia"
"Johnathan Vance",11254,"M","70000.00","Burien","United States","Washington"
"Colin Lin",11255,"M","70000.00","Burien","United States","Washington"
"Katelyn Hernandez",11256,"F","70000.00","Lynnwood","United States","Washington"
"Jacqueline Powell",11257,"F","120000.00","Newport Beach","United States","California"
"Xavier Hill",11258,"M","120000.00","Palo Alto","United States","California"
"Victoria Stewart",11259,"F","100000.00","Salem","United States","Oregon"
"Katelyn Kelly",11260,"F","110000.00","Burlingame","United States","California"
"Stephanie Collins",11261,"F","130000.00","San Diego","United States","California"
"Jennifer Simmons",11262,"F","80000.00","Port Hammond","Canada","British Columbia"
"Trinity Richardson",11263,"F","90000.00","Burien","United States","Washington"
"Eduardo Martin",11264,"M","90000.00","Issaquah","United States","Washington"
"Elizabeth Jones",11265,"F","90000.00","Kirkland","United States","Washington"
"Taylor Howard",11266,"F","90000.00","Port Orchard","United States","Washington"
"David Diaz",11267,"M","120000.00","Burlingame","United States","California"
"Katelyn Carter",11268,"F","130000.00","Coronado","United States","California"
"Ryan Foster",11269,"M","130000.00","Daly City","United States","California"
"Robert Lee",11270,"M","130000.00","Lakewood","United States","California"
"Danielle Reed",11271,"F","150000.00","San Francisco","United States","California"
"Lauren Martinez",11272,"F","70000.00","Beverly Hills","United States","California"
"Nathan Lal",11273,"M","90000.00","La Jolla","United States","California"
"Kyle Foster",11274,"M","50000.00","Bellingham","United States","Washington"
"Jenny Rai",11275,"F","80000.00","Colma","United States","California"
"Nancy Chapman",11276,"F","80000.00","Cliffside","Canada","British Columbia"
"Charles Jackson",11277,"M","80000.00","Royal Oak","Canada","British Columbia"
"Jonathan Phillips",11278,"M","90000.00","Edmonds","United States","Washington"
"Amanda Cook",11279,"F","90000.00","Everett","United States","Washington"
"Robert Collins",11280,"M","90000.00","Lynnwood","United States","Washington"
"Megan Barnes",11281,"F","110000.00","Burbank","United States","California"
"Christian Thomas",11282,"M","90000.00","Burien","United States","Washington"
"Arturo Lal",11283,"M","110000.00","Berkeley","United States","California"
"Theresa Serrano",11284,"F","110000.00","Chula Vista","United States","California"
"Jeremy Anderson",11285,"M","120000.00","Fremont","United States","California"
"Hunter Griffin",11286,"M","170000.00","Torrance","United States","California"
"Henry Garcia",11287,"M","70000.00","Cliffside","Canada","British Columbia"
"Cindy Sanchez",11288,"F","110000.00","Burbank","United States","California"
"Maria Carter",11289,"F","130000.00","Downey","United States","California"
"Katelyn Sanchez",11290,"F","130000.00","Lakewood","United States","California"
"Jenna Wright",11291,"F","130000.00","Lemon Grove","United States","California"
"Seth Phillips",11292,"M","150000.00","San Gabriel","United States","California"
"Luke Long",11293,"M","60000.00","Port Orchard","United States","Washington"
"Dalton Clark",11294,"M","60000.00","Issaquah","United States","Washington"
"Taylor Lewis",11295,"F","80000.00","Concord","United States","California"
"Haley Richardson",11296,"F","50000.00","Everett","United States","Washington"
"Noah Coleman",11297,"M","70000.00","Burbank","United States","California"
"Jon Luo",11298,"M","70000.00","Chula Vista","United States","California"
"Orlando Vazquez",11299,"M","70000.00","Burbank","United States","California"
"Fernando Barnes",11300,"M","80000.00","N. Vancouver","Canada","British Columbia"
"Cameron Rodriguez",11301,"M","80000.00","Ballard","United States","Washington"
"Spencer Russell",11302,"M","90000.00","Corvallis","United States","Oregon"
"Julia Coleman",11303,"F","90000.00","Edmonds","United States","Washington"
"Julia Garcia",11304,"F","100000.00","Portland","United States","Oregon"
"Sean Evans",11305,"M","110000.00","Chula Vista","United States","California"
"Micah Zhou",11306,"M","110000.00","Coronado","United States","California"
"Hunter Rodriguez",11307,"M","80000.00","Daly City","United States","California"
"Ian Gonzales",11308,"M","60000.00","Oregon City","United States","Oregon"
"Victoria Lewis",11309,"F","60000.00","Beaverton","United States","Oregon"
"Erin Sanders",11310,"F","70000.00","San Francisco","United States","California"
"Gabrielle Lopez",11311,"F","70000.00","Lynnwood","United States","Washington"
"Sara Richardson",11312,"F","70000.00","Lynnwood","United States","Washington"
"Trevor Jenkins",11313,"M","70000.00","Port Orchard","United States","Washington"
"Mya Flores",11314,"F","70000.00","Issaquah","United States","Washington"
"Hailey Ward",11315,"F","70000.00","Port Orchard","United States","Washington"
"Luke Allen",11316,"M","60000.00","Langford","Canada","British Columbia"
"Victoria Russell",11317,"F","40000.00","Salem","United States","Oregon"
"Jessica Wilson",11318,"F","40000.00","Edmonds","United States","Washington"
"Jade Bailey",11319,"F","70000.00","Oakland","United States","California"
"Morgan Hill",11320,"F","80000.00","Glendale","United States","California"
"Terrance Raman",11321,"M","90000.00","Burien","United States","Washington"
"Sydney Garcia",11322,"F","90000.00","Bremerton","United States","Washington"
"Jose Patterson",11323,"M","120000.00","Daly City","United States","California"
"Zachary Anderson",11324,"M","90000.00","Glendale","United States","California"
"Elijah Ross",11325,"M","90000.00","Seattle","United States","Washington"
"Rafael Xie",11326,"M","130000.00","Beverly Hills","United States","California"
"Jaime Moreno",11327,"M","90000.00","Burbank","United States","California"
"Julian Griffin",11328,"M","90000.00","Newton","Canada","British Columbia"
"Andy Alvarez",11329,"M","90000.00","Concord","United States","California"
"Ryan Thompson",11330,"M","110000.00","Oak Bay","Canada","British Columbia"
"Samantha Jenkins",11331,"F","90000.00","Shawnee","Canada","British Columbia"
"Deanna Ramos",11332,"F","10000.00","Berlin","Germany","Nordrhein-Westfalen"
"Emily Miller",11333,"F","20000.00","Newcastle upon Tyne","United Kingdom","England"
"Nicole Brown",11334,"F","10000.00","Stoke-on-Trent","United Kingdom","England"
"Carla Raman",11335,"F","10000.00","Hof","Germany","Bayern"
"Shaun Raji",11336,"M","20000.00","Paris","France","Seine (Paris)"
"Jerome Romero",11337,"M","10000.00","Watford","United Kingdom","England"
"Frank Navarro",11338,"M","20000.00","Bonn","Germany","Nordrhein-Westfalen"
"Dennis She",11339,"M","20000.00","Paris","France","Seine (Paris)"
"Melody Munoz",11340,"F","10000.00","Paris","France","Seine (Paris)"
"Randy Zeng",11341,"M","20000.00","Cheltenham","United Kingdom","England"
"Marshall Wang",11342,"M","30000.00","Boulogne-sur-Mer","France","Pas de Calais"
"Arthur Carlson",11343,"M","10000.00","Oxon","United Kingdom","England"
"Jessie Jimenez",11344,"F","10000.00","Oxford","United Kingdom","England"
"Robin Ramos",11345,"F","10000.00","Tremblay-en-France","France","Seine Saint Denis"
"Deanna Gutierrez",11346,"F","10000.00","Paris","France","Seine (Paris)"
"Roy Navarro",11347,"M","10000.00","Braunschweig","Germany","Nordrhein-Westfalen"
"Shawn Rai",11348,"M","10000.00","Paderborn","Germany","Hamburg"
"Mindy Luo",11349,"F","10000.00","München","Germany","Hessen"
"Cara Zhou",11350,"F","30000.00","Peterborough","United Kingdom","England"
"Anne Ramos",11351,"F","20000.00","London","United Kingdom","England"
"Raymond Rodriguez",11352,"M","10000.00","Pantin","France","Seine Saint Denis"
"Carrie Ortega",11353,"F","30000.00","Warrington","United Kingdom","England"
"Emma Gray",23374,"F","70000.00","Santa Cruz","United States","California"
"Deanna Suarez",11354,"F","20000.00","Grevenbroich","Germany","Bayern"
"Roberto Gutierrez",11355,"M","40000.00","Wokingham","United Kingdom","England"
"Terrence Carson",11356,"M","10000.00","Lavender Bay","Australia","New South Wales"
"Ramon Ye",11357,"M","10000.00","Caloundra","Australia","Queensland"
"Cynthia Malhotra",11358,"F","10000.00","Coffs Harbour","Australia","New South Wales"
"Jarrod Prasad",11359,"M","10000.00","Malabar","Australia","New South Wales"
"Tyrone Serrano",11360,"M","10000.00","Rockhampton","Australia","Queensland"
"Cindy Ramos",11361,"F","10000.00","Newcastle","Australia","New South Wales"
"Damien Shan",11362,"M","10000.00","Cranbourne","Australia","Victoria"
"Julian Ross",11363,"M","10000.00","Melbourne","Australia","Victoria"
"Jennifer Collins",11364,"F","10000.00","Geelong","Australia","Victoria"
"Brittney Sun",11365,"F","10000.00","Findon","Australia","South Australia"
"Virginia Patel",11366,"F","20000.00","Seaford","Australia","Victoria"
"Calvin Nara",11367,"M","20000.00","North Sydney","Australia","New South Wales"
"Edward Miller",11368,"M","10000.00","Rockhampton","Australia","Queensland"
"Ashlee Tang",11369,"F","20000.00","Findon","Australia","South Australia"
"Alicia Xu",11370,"F","20000.00","South Melbourne","Australia","Victoria"
"Lacey Jai",11371,"F","20000.00","Rockhampton","Australia","Queensland"
"Wendy Romero",11372,"F","20000.00","Brisbane","Australia","Queensland"
"Carly Luo",11373,"F","30000.00","Salzgitter","Germany","Hessen"
"Jimmy Ortega",11374,"M","30000.00","Werne","Germany","Nordrhein-Westfalen"
"Francisco Martinez",11375,"M","30000.00","High Wycombe","United Kingdom","England"
"Lance Vazquez",11376,"M","40000.00","Liverpool","United Kingdom","England"
"David Robinett",11377,"M","30000.00","Solingen","Germany","Nordrhein-Westfalen"
"Shannon Liang",11378,"F","10000.00","Metz","France","Moselle"
"Gary Vazquez",11379,"M","10000.00","Boulogne-Billancourt","France","Hauts de Seine"
"Mitchell Kumar",11380,"M","20000.00","Saarlouis","Germany","Saarland"
"Meredith Raman",11381,"F","20000.00","London","United Kingdom","England"
"Edward Patterson",11382,"M","20000.00","Roubaix","France","Nord"
"Marie Gill",11383,"F","30000.00","Roissy en Brie","France","Seine et Marne"
"Tiffany Wang",11384,"F","30000.00","Les Ulis","France","Essonne"
"Miguel Allen",11385,"M","30000.00","York","United Kingdom","England"
"Jaclyn Cai",11386,"F","30000.00","Darmstadt","Germany","Hessen"
"Megan Ramirez",11387,"F","40000.00","Gateshead","United Kingdom","England"
"Joseph Martin",11388,"M","40000.00","York","United Kingdom","England"
"Karl Shan",11389,"M","10000.00","Duesseldorf","Germany","Hessen"
"Christine Raji",11390,"F","10000.00","Saint Germain en Laye","France","Yveline"
"Lindsay Xie",11391,"F","10000.00","Salzgitter","Germany","Hessen"
"Willie Zhao",11392,"M","10000.00","Frankfurt","Germany","Hessen"
"Kurt Pal",11393,"M","10000.00","Saint Ouen","France","Loir et Cher"
